bird,power_text,mapped_class,mapped_kwargs,power_source,strict_mapped,semantic_tested_word_for_word,smoke_covered,status,notes,row_signature
Abbott's Booby,"Draw 3 bonus cards, then discard 2. You may discard bonus cards you did not draw this turn.",backend.powers.templates.draw_cards.DrawBonusCards,"{""discard_from_all_bonus"": true, ""draw"": 3, ""keep"": 1}",strict,True,True,True,PASS,,04963f46798e1d6cd7bf2ed2
Acorn Woodpecker,"Gain 1 [seed] from the birdfeeder, if available. You may cache it on this bird.",backend.powers.templates.cache_food.CacheFoodFromFeeder,"{""food_type"": ""FoodType.SEED""}",strict,True,True,True,PASS,,7b70aeb5379e699118ea08d4
American Avocet,"When another player takes the “lay eggs” action, lay 1 [egg] on another bird with a [ground] nest.",backend.powers.templates.strict.PinkLayEggOnTrigger,"{""nest_types"": ""{<NestType.GROUND: 'ground'>}"", ""on_self"": false, ""require_another_bird"": true, ""target_overage"": 0, ""wingspan_lt"": null}",strict,True,True,True,PASS,,52cb70151442c082ee858519
American Bittern,Player(s) with the fewest birds in their [wetland] draw 1 [card].,backend.powers.templates.draw_cards.DrawCards,"{""all_players"": false, ""draw"": 1, ""keep"": 1}",strict,True,True,True,PASS,,aa262157243aaa02d9dbe069
American Coot,"Tuck 1 [card] from your hand behind this bird. If you do, draw 1 [card].",backend.powers.templates.tuck_cards.TuckFromHand,"{""draw_count"": 1, ""food_count"": 0, ""food_type"": null, ""lay_count"": 0, ""tuck_count"": 1}",strict,True,True,True,PASS,,17a6b912728a3e9592487374
American Crow,Discard 1 [egg] from any of your other birds to gain 1 [wild] from the supply.,backend.powers.templates.special.DiscardEggForBenefit,"{""card_gain"": 0, ""egg_cost"": 1, ""food_gain"": 1, ""food_type"": ""FoodType.WILD"", ""require_other_bird"": true}",strict,True,True,True,PASS,,8a5e6bee3ff34fe2b06b23a7
American Goldfinch,Gain 3 [seed] from the supply.,backend.powers.templates.gain_food.GainFoodFromSupply,"{""all_players"": false, ""count"": 3, ""food_types"": [""FoodType.SEED""], ""you_also"": false}",strict,True,True,True,PASS,,750581dedbe338112240230b
American Kestrel,"Roll all dice not in birdfeeder. If any are [rodent], cache 1 [rodent] from the supply on this bird.",backend.powers.templates.predator.PredatorDice,"{""cache_count"": 1, ""target_food"": ""FoodType.RODENT""}",strict,True,True,True,PASS,,95cdddb2899738704922b751
American Oystercatcher,"Draw [card] equal to the number of players +1. Starting with you and proceeding clockwise, each player selects 1 of those cards and places it in their hand. You keep the extra card.",backend.powers.templates.strict.AmericanOystercatcherDraftPlayersPlusOneClockwise,{},strict,True,True,True,PASS,,7c4cbff996e554c3b88d41bb
American Redstart,Gain 1 [die] from the birdfeeder.,backend.powers.templates.gain_food.GainFoodFromFeeder,"{""count"": 1, ""food_types"": null, ""may_cache"": false}",strict,True,True,True,PASS,,2a3f127012ac9ed5b8b0dd01
American Robin,"Tuck 1 [card] from your hand behind this bird. If you do, draw 1 [card].",backend.powers.templates.tuck_cards.TuckFromHand,"{""draw_count"": 1, ""food_count"": 0, ""food_type"": null, ""lay_count"": 0, ""tuck_count"": 1}",strict,True,True,True,PASS,,06931ba36fb5feafc59e883e
American White Pelican,Discard 1 [fish] to tuck 2 [card] from the deck behind this bird.,backend.powers.templates.strict.DiscardFoodToTuckFromDeck,"{""food_type"": ""FoodType.FISH"", ""max_discard"": 1, ""tuck_per_discard"": 2}",strict,True,True,True,PASS,,2bf5fddcf3ee3c4ad58c1c89
American Woodcock,,backend.powers.base.NoPower,{},strict,True,True,True,PASS,No power text on card,a6ebd1abb685c60c34cbb98d
Anhinga,"Roll all dice not in birdfeeder. If any are [fish], cache 1 [fish] from the supply on this bird.",backend.powers.templates.predator.PredatorDice,"{""cache_count"": 1, ""target_food"": ""FoodType.FISH""}",strict,True,True,True,PASS,,c294416283f94aea03d75aed
Anna's Hummingbird,"Each player gains 1 [die] from the birdfeeder, starting with the player of your choice.",backend.powers.templates.strict.EachPlayerGainDieFromFeederStartingChoice,{},strict,True,True,True,PASS,,6457945e2a65a8c58420c54c
Ash-Throated Flycatcher,Lay 1 [egg] on each of your birds with a [cavity] nest.,backend.powers.templates.strict.EndGameLayEggOnMatchingNest,"{""nest_types"": ""{<NestType.CAVITY: 'cavity'>}""}",strict,True,True,True,PASS,,e8ffbc86e58b02a3ec10d42e
Asian Emerald Dove,Lay 2 [egg] on each other bird in this column.,backend.powers.templates.strict.LayEggsOnEachOtherBirdInColumn,"{""eggs_per_bird"": 2}",strict,True,True,True,PASS,,775b726cac84c7dff15d4c11
